Question,Answer
What is the formula for calculating the determinant of a 3x3 matrix?,\det\left(\begin{array}{ccc} a & b & c \\ d & e & f \\ g & h & i \\end{array}\right) = aei + bfg + cdh - ceg - bdi - afh.
What is the formula for finding the inverse of a matrix A?,$\boxed{A^{-1} = \frac{1}{\det(A)} \cdot \text{adj}(A)}$
How does the determinant of a matrix relate to its invertibility?,The determinant of a matrix A is non-zero if and only if A is invertible.
What is the significance of the eigenvalues and eigenvectors in linear algebra?,Eigenvalues and eigenvectors are used to study the stability and behavior of linear transformations.
How do you calculate the cross product of two vectors u and v?,$\boxed{\begin{pmatrix} u_1 \ u_2 \ u_3 \end{pmatrix} \times \begin{pmatrix} v_1 \ v_2 \ v_3 \end{pmatrix} = \begin{pmatrix} u_2v_3 - u_3v_2 \ u_3v_1 - u_1v_3 \ u_1v_2 - u_2v_1 \end{pmatrix}}$
What is the relationship between the trace of a matrix and its eigenvalues?,The trace of a matrix is the sum of its eigenvalues.
How do you determine if a matrix is symmetric or skew-symmetric?,"A matrix is symmetric if it equals its transpose, and skew-symmetric if it equals the negative of its transpose."
What is the significance of the Gram-Schmidt process in linear algebra?,The Gram-Schmidt process is used to orthogonalize a set of vectors.
How do you calculate the norm (length) of a vector u?,$\boxed{||u|| = \sqrt{u_1^2 + u_2^2 + \ldots + u_n^2}}$
What is the relationship between the adjugate (adj) and the inverse of a matrix?,$\boxed{\text{adj}(A) \cdot A = A \cdot \text{adj}(A) = \det(A) \cdot I}$
What is the determinant of a 2x2 matrix?,"The determinant of a 2x2 matrix [a, b; c, d] is given by det = ad - bc, using LaTeX form: \begin{equation*} \text{det} = \frac{ad - bc}{1} \end{equation*}"
What is the significance of eigenvectors and eigenvalues in linear algebra?,"Eigenvectors and eigenvalues are used to describe the behavior of linear transformations, eigenvalues represent the amount of change in a direction, while eigenvectors represent the direction of the change, using LaTeX form: \begin{equation*} \text{eigenvalue} \lambda \text{and eigenvector} \vec{v} \text{satisfy the equation} \begin{bmatrix} A \end{bmatrix} \begin{bmatrix} \vec{v} \end{bmatrix} = \begin{bmatrix} \lambda \end{bmatrix} \begin{bmatrix} \vec{v} \end{bmatrix} \end{equation*}"
